Month,Day,Hour,Beam,Diffuse
1,1,0,0,0
1,1,1,0,0
1,1,2,0,0
1,1,3,0,0
1,1,4,0,0
1,1,5,0,0
1,1,6,0,0
1,1,7,0,9
1,1,8,380,92
1,1,9,579,137
1,1,10,683,163
1,1,11,735,177
1,1,12,751,181
1,1,13,735,177
1,1,14,657,170
1,1,15,554,142
1,1,16,329,98
1,1,17,0,3
1,1,18,0,0
1,1,19,0,0
1,1,20,0,0
1,1,21,0,0
1,1,22,0,0
1,1,23,0,0
1,2,0,0,0
1,2,1,0,0
1,2,2,0,0
1,2,3,0,0
1,2,4,0,0
1,2,5,0,0
1,2,6,0,0
1,2,7,0,8
1,2,8,388,93
1,2,9,587,138
1,2,10,691,164
1,2,11,743,178
1,2,12,760,183
1,2,13,745,178
1,2,14,685,166
1,2,15,562,141
1,2,16,322,103
1,2,17,0,3
1,2,18,0,0
1,2,19,0,0
1,2,20,0,0
1,2,21,0,0
1,2,22,0,0
1,2,23,0,0
1,3,0,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
1,3,6,0,0
1,3,7,0,8
1,3,8,387,93
1,3,9,587,138
1,3,10,692,164
1,3,11,745,178
1,3,12,761,183
1,3,13,747,179
1,3,14,696,165
1,3,15,594,140
1,3,16,389,98
1,3,17,0,5
1,3,18,0,0
1,3,19,0,0
1,3,20,0,0
1,3,21,0,0
1,3,22,0,0
1,3,23,0,0
1,4,0,0,0
1,4,1,0,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,6,0,0
1,4,7,0,5
1,4,8,386,93
1,4,9,587,138
1,4,10,693,165
1,4,11,712,186
1,4,12,616,237
1,4,13,479,262
1,4,14,650,187
1,4,15,509,175
1,4,16,143,116
1,4,17,0,4
1,4,18,0,0
1,4,19,0,0
1,4,20,0,0
1,4,21,0,0
1,4,22,0,0
1,4,23,0,0
1,5,0,0,0
1,5,1,0,0
1,5,2,0,0
1,5,3,0,0
1,5,4,0,0
1,5,5,0,0
1,5,6,0,0
1,5,7,0,7
1,5,8,387,93
1,5,9,588,138
1,5,10,690,159
1,5,11,745,179
1,5,12,762,183
1,5,13,747,179
1,5,14,697,166
1,5,15,596,140
1,5,16,354,105
1,5,17,0,4
1,5,18,0,0
1,5,19,0,0
1,5,20,0,0
1,5,21,0,0
1,5,22,0,0
1,5,23,0,0
1,6,0,0,0
1,6,1,0,0
1,6,2,0,0
1,6,3,0,0
1,6,4,0,0
1,6,5,0,0
1,6,6,0,0
1,6,7,0,4
1,6,8,328,98
1,6,9,554,149
1,6,10,698,165
1,6,11,751,179
1,6,12,767,184
1,6,13,752,180
1,6,14,702,166
1,6,15,602,139
1,6,16,365,105
1,6,17,0,4
1,6,18,0,0
1,6,19,0,0
1,6,20,0,0
1,6,21,0,0
1,6,22,0,0
1,6,23,0,0
1,7,0,0,0
1,7,1,0,0
1,7,2,0,0
1,7,3,0,0
1,7,4,0,0
1,7,5,0,0
1,7,6,0,0
1,7,7,0,6
1,7,8,374,96
1,7,9,592,137
1,7,10,700,165
1,7,11,753,180
1,7,12,769,184
1,7,13,754,180
1,7,14,704,159
1,7,15,604,140
1,7,16,394,101
1,7,17,0,6
1,7,18,0,0
1,7,19,0,0
1,7,20,0,0
1,7,21,0,0
1,7,22,0,0
1,7,23,0,0
1,8,0,0,0
1,8,1,0,0
1,8,2,0,0
1,8,3,0,0
1,8,4,0,0
1,8,5,0,0
1,8,6,0,0
1,8,7,0,6
1,8,8,383,92
1,8,9,584,138
1,8,10,690,164
1,8,11,743,179
1,8,12,760,183
1,8,13,746,180
1,8,14,697,166
1,8,15,599,142
1,8,16,411,98
1,8,17,0,7
1,8,18,0,0
1,8,19,0,0
1,8,20,0,0
1,8,21,0,0
1,8,22,0,0
1,8,23,0,0
1,9,0,0,0
1,9,1,0,0
1,9,2,0,0
1,9,3,0,0
1,9,4,0,0
1,9,5,0,0
1,9,6,0,0
1,9,7,0,6
1,9,8,373,91
1,9,9,573,137
1,9,10,678,163
1,9,11,731,177
1,9,12,749,182
1,9,13,736,179
1,9,14,689,166
1,9,15,593,141
1,9,16,409,99
1,9,17,0,12
1,9,18,0,0
1,9,19,0,0
1,9,20,0,0
1,9,21,0,0
1,9,22,0,0
1,9,23,0,0
1,10,0,0,0
1,10,1,0,0
1,10,2,0,0
1,10,3,0,0
1,10,4,0,0
1,10,5,0,0
1,10,6,0,0
1,10,7,0,4
1,10,8,220,106
1,10,9,437,194
1,10,10,203,282
1,10,11,556,269
1,10,12,81,314
1,10,13,67,278
1,10,14,401,264
1,10,15,595,142
1,10,16,413,99
1,10,17,0,11
1,10,18,0,0
1,10,19,0,0
1,10,20,0,0
1,10,21,0,0
1,10,22,0,0
1,10,23,0,0
1,11,0,0,0
1,11,1,0,0
1,11,2,0,0
1,11,3,0,0
1,11,4,0,0
1,11,5,0,0
1,11,6,0,0
1,11,7,0,6
1,11,8,396,93
1,11,9,571,140
1,11,10,699,159
1,11,11,759,181
1,11,12,776,186
1,11,13,763,182
1,11,14,715,169
1,11,15,611,143
1,11,16,385,109
1,11,17,0,13
1,11,18,0,0
1,11,19,0,0
1,11,20,0,0
1,11,21,0,0
1,11,22,0,0
1,11,23,0,0
1,12,0,0,0
1,12,1,0,0
1,12,2,0,0
1,12,3,0,0
1,12,4,0,0
1,12,5,0,0
1,12,6,0,0
1,12,7,0,6
1,12,8,376,96
1,12,9,589,138
1,12,10,706,157
1,12,11,760,181
1,12,12,778,186
1,12,13,766,170
1,12,14,718,160
1,12,15,613,144
1,12,16,416,105
1,12,17,0,15
1,12,18,0,0
1,12,19,0,0
1,12,20,0,0
1,12,21,0,0
1,12,22,0,0
1,12,23,0,0
1,13,0,0,0
1,13,1,0,0
1,13,2,0,0
1,13,3,0,0
1,13,4,0,0
1,13,5,0,0
1,13,6,0,0
1,13,7,0,6
1,13,8,378,96
1,13,9,592,139
1,13,10,697,166
1,13,11,750,180
1,13,12,767,185
1,13,13,754,181
1,13,14,707,169
1,13,15,612,145
1,13,16,432,103
1,13,17,0,18
1,13,18,0,0
1,13,19,0,0
1,13,20,0,0
1,13,21,0,0
1,13,22,0,0
1,13,23,0,0
1,14,0,0,0
1,14,1,0,0
1,14,2,0,0
1,14,3,0,0
1,14,4,0,0
1,14,5,0,0
1,14,6,0,0
1,14,7,0,6
1,14,8,386,93
1,14,9,590,139
1,14,10,696,166
1,14,11,750,180
1,14,12,769,185
1,14,13,758,182
1,14,14,664,193
1,14,15,352,203
1,14,16,441,104
1,14,17,0,7
1,14,18,0,0
1,14,19,0,0
1,14,20,0,0
1,14,21,0,0
1,14,22,0,0
1,14,23,0,0
1,15,0,0,0
1,15,1,0,0
1,15,2,0,0
1,15,3,0,0
1,15,4,0,0
1,15,5,0,0
1,15,6,0,0
1,15,7,0,6
1,15,8,377,92
1,15,9,578,138
1,15,10,91,205
1,15,11,736,179
1,15,12,72,315
1,15,13,162,323
1,15,14,7,203
1,15,15,1,150
1,15,16,0,88
1,15,17,0,7
1,15,18,0,0
1,15,19,0,0
1,15,20,0,0
1,15,21,0,0
1,15,22,0,0
1,15,23,0,0
1,16,0,0,0
1,16,1,0,0
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,16,6,0,0
1,16,7,0,4
1,16,8,371,91
1,16,9,411,199
1,16,10,64,252
1,16,11,729,178
1,16,12,676,215
1,16,13,735,180
1,16,14,645,185
1,16,15,599,144
1,16,16,426,103
1,16,17,0,21
1,16,18,0,0
1,16,19,0,0
1,16,20,0,0
1,16,21,0,0
1,16,22,0,0
1,16,23,0,0
1,17,0,0,0
1,17,1,0,0
1,17,2,0,0
1,17,3,0,0
1,17,4,0,0
1,17,5,0,0
1,17,6,0,0
1,17,7,0,7
1,17,8,205,108
1,17,9,580,138
1,17,10,676,166
1,17,11,704,188
1,17,12,758,185
1,17,13,748,181
1,17,14,704,169
1,17,15,613,146
1,17,16,440,105
1,17,17,17,31
1,17,18,0,0
1,17,19,0,0
1,17,20,0,0
1,17,21,0,0
1,17,22,0,0
1,17,23,0,0
1,18,0,0,0
1,18,1,0,0
1,18,2,0,0
1,18,3,0,0
1,18,4,0,0
1,18,5,0,0
1,18,6,0,0
1,18,7,0,7
1,18,8,350,102
1,18,9,594,140
1,18,10,703,167
1,18,11,760,182
1,18,12,782,188
1,18,13,773,185
1,18,14,729,162
1,18,15,635,144
1,18,16,453,108
1,18,17,0,27
1,18,18,0,0
1,18,19,0,0
1,18,20,0,0
1,18,21,0,0
1,18,22,0,0
1,18,23,0,0
1,19,0,0,0
1,19,1,0,0
1,19,2,0,0
1,19,3,0,0
1,19,4,0,0
1,19,5,0,0
1,19,6,0,0
1,19,7,0,8
1,19,8,353,102
1,19,9,600,140
1,19,10,713,158
1,19,11,768,170
1,19,12,787,175
1,19,13,775,172
1,19,14,731,162
1,19,15,638,144
1,19,16,338,144
1,19,17,0,25
1,19,18,0,0
1,19,19,0,0
1,19,20,0,0
1,19,21,0,0
1,19,22,0,0
1,19,23,0,0
1,20,0,0,0
1,20,1,0,0
1,20,2,0,0
1,20,3,0,0
1,20,4,0,0
1,20,5,0,0
1,20,6,0,0
1,20,7,0,8
1,20,8,400,95
1,20,9,601,141
1,20,10,688,171
1,20,11,600,239
1,20,12,760,194
1,20,13,750,190
1,20,14,587,216
1,20,15,349,213
1,20,16,456,108
1,20,17,0,16
1,20,18,0,0
1,20,19,0,0
1,20,20,0,0
1,20,21,0,0
1,20,22,0,0
1,20,23,0,0
1,21,0,0,0
1,21,1,0,0
1,21,2,0,0
1,21,3,0,0
1,21,4,0,0
1,21,5,0,0
1,21,6,0,0
1,21,7,0,9
1,21,8,32,97
1,21,9,282,207
1,21,10,162,291
1,21,11,92,318
1,21,12,15,266
1,21,13,5,202
1,21,14,0,118
1,21,15,0,99
1,21,16,0,49
1,21,17,0,9
1,21,18,0,0
1,21,19,0,0
1,21,20,0,0
1,21,21,0,0
1,21,22,0,0
1,21,23,0,0
1,22,0,0,0
1,22,1,0,0
1,22,2,0,0
1,22,3,0,0
1,22,4,0,0
1,22,5,0,0
1,22,6,0,0
1,22,7,0,9
1,22,8,394,95
1,22,9,594,141
1,22,10,699,167
1,22,11,753,182
1,22,12,24,258
1,22,13,31,263
