Month,Day,Hour,Beam,Diffuse,Plane of Array Irradiance (W/m^2),DC Array Output (W),AC System Output (W),,
1,1,0,0,0,0,0,0,,
1,1,1,0,0,0,0,0,,
1,1,2,0,0,0,0,0,,
1,1,3,0,0,0,0,0,,
1,1,4,0,0,0,0,0,,
1,1,5,0,0,0,0,0,,
1,1,6,0,0,0,0,0,,
1,1,7,0,19,19,14.599,9.23,,
1,1,8,399,105,251.089,173.169,164.395,,
1,1,9,624,138,471.684,325.226,312.309,,
1,1,10,665,179,616.878,419.325,403.412,,
1,1,11,659,225,705.254,472.331,454.587,,
1,1,12,757,201,761.812,510.781,491.643,,
1,1,13,768,183,715.883,481.179,463.119,,
1,1,14,749,168,610.689,415.038,399.269,,
1,1,15,672,149,444.296,299.155,287.009,,
1,1,16,405,152,253.08,167.271,158.64,,
1,1,17,144,62,71.047,48.157,42.146,,
1,1,18,0,0,0,0,0,,
1,1,19,0,0,0,0,0,,
1,1,20,0,0,0,0,0,,
1,1,21,0,0,0,0,0,,
1,1,22,0,0,0,0,0,,
1,1,23,0,0,0,0,0,,
1,2,0,0,0,0,0,0,,
1,2,1,0,0,0,0,0,,
1,2,2,0,0,0,0,0,,
1,2,3,0,0,0,0,0,,
1,2,4,0,0,0,0,0,,
1,2,5,0,0,0,0,0,,
1,2,6,0,0,0,0,0,,
1,2,7,0,18,18,13.913,8.557,,
1,2,8,441,98,259.138,179.311,170.387,,
1,2,9,632,139,476.755,332.466,319.33,,
1,2,10,680,178,625.853,430.733,414.435,,
1,2,11,783,175,746.118,504.116,485.223,,
1,2,12,800,176,769.559,515.547,496.232,,
1,2,13,791,175,725.064,485.758,467.533,,
1,2,14,734,173,608.218,409.607,394.019,,
1,2,15,667,154,448.536,301.513,289.299,,
1,2,16,410,152,255.265,168.357,159.701,,
1,2,17,89,62,66.976,47.045,41.056,,
1,2,18,0,0,0,0,0,,
1,2,19,0,0,0,0,0,,
1,2,20,0,0,0,0,0,,
1,2,21,0,0,0,0,0,,
1,2,22,0,0,0,0,0,,
1,2,23,0,0,0,0,0,,
1,3,0,0,0,0,0,0,,
1,3,1,0,0,0,0,0,,
1,3,2,0,0,0,0,0,,
1,3,3,0,0,0,0,0,,
1,3,4,0,0,0,0,0,,
1,3,5,0,0,0,0,0,,
1,3,6,0,0,0,0,0,,
1,3,7,0,17,17,13.121,7.78,,
1,3,8,394,105,248.702,172.832,164.067,,
1,3,9,625,138,471.863,325.926,312.988,,
1,3,10,726,162,640.317,433.552,417.158,,
1,3,11,779,175,743.763,495.25,476.681,,
1,3,12,800,180,774.516,511.644,492.473,,
1,3,13,793,178,730.739,484.022,465.859,,
1,3,14,717,179,605.546,409.093,393.522,,
1,3,15,658,154,446.013,299.623,287.464,,
1,3,16,439,151,262.589,172.999,164.229,,
1,3,17,95,64,69.667,48.945,42.919,,
1,3,18,0,0,0,0,0,,
1,3,19,0,0,0,0,0,,
1,3,20,0,0,0,0,0,,
1,3,21,0,0,0,0,0,,
1,3,22,0,0,0,0,0,,
1,3,23,0,0,0,0,0,,
1,4,0,0,0,0,0,0,,
1,4,1,0,0,0,0,0,,
1,4,2,0,0,0,0,0,,
1,4,3,0,0,0,0,0,,
1,4,4,0,0,0,0,0,,
1,4,5,0,0,0,0,0,,
1,4,6,0,0,0,0,0,,
1,4,7,0,17,17,13.122,7.781,,
1,4,8,430,97,253.581,174.672,165.862,,
1,4,9,621,138,469.629,325.024,312.112,,
1,4,10,722,161,636.912,425.016,408.912,,
1,4,11,774,174,739.738,469.13,451.499,,
1,4,12,786,182,767.115,497.349,478.704,,
1,4,13,777,182,724.902,481.377,463.31,,
1,4,14,746,168,613.311,415.225,399.45,,
1,4,15,669,149,447.406,301.683,289.463,,
1,4,16,524,117,251.434,162.173,153.665,,
1,4,17,83,67,71.926,51.233,45.161,,
1,4,18,0,0,0,0,0,,
1,4,19,0,0,0,0,0,,
1,4,20,0,0,0,0,0,,
1,4,21,0,0,0,0,0,,
1,4,22,0,0,0,0,0,,
1,4,23,0,0,0,0,0,,
1,5,0,0,0,0,0,0,,
1,5,1,0,0,0,0,0,,
1,5,2,0,0,0,0,0,,
1,5,3,0,0,0,0,0,,
1,5,4,0,0,0,0,0,,
1,5,5,0,0,0,0,0,,
1,5,6,0,0,0,0,0,,
1,5,7,0,13,13,10.036,4.752,,
1,5,8,385,101,241.001,166.995,158.372,,
1,5,9,618,138,467.984,320.554,307.777,,
1,5,10,711,165,633.95,412.867,397.171,,
1,5,11,772,174,738.966,469.835,452.18,,
1,5,12,787,182,768.927,499.555,480.829,,
1,5,13,778,182,726.973,483.511,465.367,,
1,5,14,749,168,616.666,413.432,397.717,,
1,5,15,673,150,451.743,304.353,292.055,,
1,5,16,530,118,255.246,163.965,155.415,,
1,5,17,89,69,74.684,52.898,46.793,,
1,5,18,0,0,0,0,0,,
1,5,19,0,0,0,0,0,,
1,5,20,0,0,0,0,0,,
1,5,21,0,0,0,0,0,,
1,5,22,0,0,0,0,0,,
1,5,23,0,0,0,0,0,,
1,6,0,0,0,0,0,0,,
1,6,1,0,0,0,0,0,,
1,6,2,0,0,0,0,0,,
1,6,3,0,0,0,0,0,,
1,6,4,0,0,0,0,0,,
1,6,5,0,0,0,0,0,,
1,6,6,0,0,0,0,0,,
1,6,7,0,15,15,11.555,6.243,,
1,6,8,425,96,250.368,172.023,163.277,,
1,6,9,618,138,467.995,319.604,306.855,,
1,6,10,719,161,635.582,423.882,407.816,,
1,6,11,771,174,738.987,468.513,450.904,,
1,6,12,791,179,770.045,483.736,465.584,,
1,6,13,784,177,727.614,473.79,455.994,,
1,6,14,748,168,617.674,413.472,397.756,,
1,6,15,673,150,453.328,305.19,292.867,,
1,6,16,531,119,257.798,165.722,157.129,,
1,6,17,95,71,77.485,54.771,48.628,,
1,6,18,0,0,0,0,0,,
1,6,19,0,0,0,0,0,,
1,6,20,0,0,0,0,0,,
1,6,21,0,0,0,0,0,,
1,6,22,0,0,0,0,0,,
1,6,23,0,0,0,0,0,,
1,7,0,0,0,0,0,0,,
1,7,1,0,0,0,0,0,,
1,7,2,0,0,0,0,0,,
1,7,3,0,0,0,0,0,,
1,7,4,0,0,0,0,0,,
1,7,5,0,0,0,0,0,,
1,7,6,0,0,0,0,0,,
1,7,7,0,15,15,11.568,6.256,,
1,7,8,411,95,244.144,168.076,159.426,,
1,7,9,602,136,457.513,315.98,303.339,,
1,7,10,703,160,624.429,422.099,406.094,,
1,7,11,756,173,727.798,473.101,455.329,,
1,7,12,777,178,759.759,473.532,455.745,,
1,7,13,771,176,718.951,448.733,431.817,,
1,7,14,737,167,611.687,385.91,371.099,,
1,7,15,662,149,448.959,284.903,273.168,,
1,7,16,522,118,255.735,160.27,151.809,,
1,7,17,133,67,77.141,52.173,46.082,,
1,7,18,0,0,0,0,0,,
1,7,19,0,0,0,0,0,,
1,7,20,0,0,0,0,0,,
1,7,21,0,0,0,0,0,,
1,7,22,0,0,0,0,0,,
1,7,23,0,0,0,0,0,,
1,8,0,0,0,0,0,0,,
1,8,1,0,0,0,0,0,,
1,8,2,0,0,0,0,0,,
1,8,3,0,0,0,0,0,,
1,8,4,0,0,0,0,0,,
1,8,5,0,0,0,0,0,,
1,8,6,0,0,0,0,0,,
1,8,7,0,14,14,10.797,5.499,,
1,8,8,404,94,240.502,166.452,157.842,,
1,8,9,596,135,453.422,316.311,303.66,,
1,8,10,698,159,620.592,426.082,409.942,,
1,8,11,753,172,725.458,488.337,470.019,,
1,8,12,774,178,758.743,500.232,481.482,,
1,8,13,769,176,719.058,467.294,449.729,,
1,8,14,735,167,612.143,392.967,377.927,,
1,8,15,661,149,450.122,289.261,277.401,,
1,8,16,522,118,257.04,159.299,150.86,,
1,8,17,106,74,82.155,56.213,50.041,,
1,8,18,0,0,0,0,0,,
1,8,19,0,0,0,0,0,,
